...1,B2,B3,B4,row,geometry,index_right,...8,latitude,longitude,area_in_meters,confidence,full_plus_code,building
1093,1247,1123,1140,1094,POINT (35.32583771842656 -15.381844390673423),71,344948,-15.38184693,35.32578931,198.4716,0.6613,5GPQJ89G+7873,1
1103,1134,1176,1237,1104,POINT (35.32676878810569 -15.381834656580926),502,2665051,-15.38176702,35.32677264,203.1905,0.7501,5GPQJ89G+7PR8,1
1104,1174,1207,1294,1105,POINT (35.32686189503722 -15.381833682957849),1607,8666474,-15.38180484,35.32689226,49.7665,0.7867,5GPQJ89G+7QCW,1
1106,1077,1061,981,1107,POINT (35.327048108880426 -15.381831735595052),805,4367307,-15.38181775,35.32708802,131.0883,0.8373,5GPQJ89G+7RG9,1
1108,1169,1171,1247,1109,POINT (35.327234322697166 -15.381829788076743),1765,9597286,-15.38187189,35.32731035,205.2268,0.7559,5GPQJ89G+7W35,1
1109,1275,1194,1195,1110,POINT (35.32732742959561 -15.381828814259274),1765,9597286,-15.38187189,35.32731035,205.2268,0.7559,5GPQJ89G+7W35,1
1308,1125,1036,1092,1309,POINT (35.32723532638785 -15.38192012229795),1765,9597286,-15.38187189,35.32731035,205.2268,0.7559,5GPQJ89G+7W35,1
1309,1246,1090,1171,1310,POINT (35.327328433326365 -15.381919148474484),1765,9597286,-15.38187189,35.32731035,205.2268,0.7559,5GPQJ89G+7W35,1
1142,1086,991,1052,1143,POINT (35.311779483072364 -15.382081238090333),970,5352418,-15.38209498,35.3118141,64.5907,0.7429,5GPQJ896+5P86,1
1146,1069,1000,1097,1147,POINT (35.31215191516646 -15.382077368379116),1711,9264901,-15.38204997,35.31216236,77.2888,0.7799,5GPQJ896+5VM2,1
1161,1187,1069,1103,1162,POINT (35.3135485345823 -15.382062851421605),1542,8415168,-15.38208421,35.31352464,51.7198,0.693,5GPQJ897+5C6Q,1
1202,1228,1116,1104,1203,POINT (35.31736595343075 -15.382023127103391),1641,8883560,-15.3820111,35.3173825,117.1485,0.843,5GPQJ898+5XRC,1
1266,1199,1127,1235,1267,POINT (35.32332482899813 -15.381960987776104),42,176106,-15.38204536,35.32336259,196.7214,0.8291,5GPQJ89F+58Q4,1
1466,1251,1191,1309,1467,POINT (35.3233258310126 -15.382051322247996),42,176106,-15.38204536,35.32336259,196.7214,0.8291,5GPQJ89F+58Q4,1
1467,1368,1318,1404,1468,POINT (35.32341893826888 -15.38205035005145),42,176106,-15.38204536,35.32336259,196.7214,0.8291,5GPQJ89F+58Q4,1
1273,1086,979,1012,1274,POINT (35.32397657937288 -15.381954181625716),1721,9328750,-15.38196354,35.32398474,31.0353,0.6551,5GPQJ89F+6H9G,1
1274,1167,1064,1185,1275,POINT (35.32406968654285 -15.381953209163006),699,3835670,-15.38195887,35.32409553,72.2106,0.7444,5GPQJ89F+6J9J,1
1285,1114,1036,1063,1286,POINT (35.32509386497623 -15.38194250950716),1508,8233007,-15.38196199,35.32514201,156.9525,0.8396,5GPQJ89G+636G,1
1286,1133,1046,1020,1287,POINT (35.325186972066874 -15.381941536577902),1508,8233007,-15.38196199,35.32514201,156.9525,0.8396,5GPQJ89G+636G,1
1303,1161,1107,1174,1304,POINT (35.32676979159604 -15.381924990832092),15,54763,-15.38191803,35.32676529,43.4259,0.7376,5GPQJ89G+6PJ7,1
1327,1340,1331,1551,1328,POINT (35.31038385822784 -15.382186079268095),1628,8773603,-15.38218147,35.31042542,80.3044,0.8379,5GPQJ896+45FP,1
1336,1121,1009,953,1337,POINT (35.31122183153958 -15.382177376738362),1718,9304055,-15.38219716,35.31124333,23.3489,0.6978,5GPQJ896+4FH5,1
1345,1158,1084,1198,1346,POINT (35.312059804318984 -15.382168671059285),1072,5887336,-15.38216647,35.31202249,33.8053,0.7093,5GPQJ896+4RJ8,1
