,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
802639,-15.42429798,35.41157427,44.2263,0.8368,"POLYGON((35.4116079857934 -15.4243251983727, 35.41160575164 -15.4242683528357, 35.4115405718054 -15.4242707632362, 35.4115428059414 -15.4243276087765, 35.4116079857934 -15.4243251983727))",5GPQHCG6+7JP3
851611,-15.42414227,35.41006615,7.7861,0.6083,"POLYGON((35.4100792883933 -15.4241552263473, 35.4100751476809 -15.4241263022621, 35.410052990053 -15.4241292869606, 35.4100571307624 -15.4241582110465, 35.4100792883933 -15.4241552263473))",5GPQHCG6+82W6
862697,-15.42868767,35.42556937,20.4554,0.7521,"POLYGON((35.4255958948538 -15.4287030647501, 35.4255940600833 -15.4286696392887, 35.4255428601909 -15.4286722836148, 35.4255446949533 -15.4287057090778, 35.4255958948538 -15.4287030647501))",5GPQHCCG+G6GC
873589,-15.42683795,35.40983949,42.8463,0.6214,"POLYGON((35.4098685898638 -15.4268690877809, 35.4098664768762 -15.42680506399, 35.4098103860083 -15.4268068057816, 35.409812498979 -15.4268708295755, 35.4098685898638 -15.4268690877809))",5GPQHCF5+7W8H
878900,-15.42810734,35.40954644,28.7198,0.7604,"POLYGON((35.4095710961528 -15.4281321017377, 35.4095674973583 -15.4280796256241, 35.40952178116 -15.4280825755412, 35.4095253799431 -15.4281350516573, 35.4095710961528 -15.4281321017377))",5GPQHCC5+QR3M
905169,-15.43316878,35.42539797,44.9716,0.8091,"POLYGON((35.4254352243096 -15.4331456018974, 35.4253785654393 -15.4331302008135, 35.4253607262341 -15.4331919477835, 35.4254173851214 -15.4332073488697, 35.4254352243096 -15.4331456018974))",5GPQHC8G+P5J8
916541,-15.43537667,35.42329725,12.3916,0.7247,"POLYGON((35.4233105300648 -15.4353951319702, 35.4233175588749 -15.4353657672182, 35.4232839632673 -15.4353582014594, 35.4232769344526 -15.435387566211, 35.4233105300648 -15.4353951319702))",5GPQHC7F+R8VW
963325,-15.42451776,35.42621243,19.0214,0.7251,"POLYGON((35.42622672867 -15.4245461713406, 35.4262260650643 -15.424489051506, 35.4261981293138 -15.4244893568859, 35.426198792912 -15.4245464767218, 35.42622672867 -15.4245461713406))",5GPQHCGG+5FW9
994129,-15.42169703,35.42596009,58.4008,0.8364,"POLYGON((35.4260073689038 -15.4216803861173, 35.4259453914865 -15.4216503833107, 35.4259128291265 -15.4217136768866, 35.4259748065607 -15.4217436797004, 35.4260073689038 -15.4216803861173))",5GPQHCHG+89G4
1017542,-15.42330426,35.42609675,13.2374,0.6467,"POLYGON((35.4261192009637 -15.423295905209, 35.4260852212306 -15.4232838150382, 35.4260743277541 -15.4233126234578, 35.4261083074915 -15.4233247136296, 35.4261192009637 -15.423295905209))",5GPQHCGG+MCHR
